Property Name|Default|Meaning|Since Version
spark.app.name|(none)|The name of your application. This will appear in the UI and in log data.|0.9.0
spark.driver.cores|1|Number of cores to use for the driver process, only in cluster mode.|1.3.0
spark.driver.maxResultSize|1g|Limit of total size of serialized results of all partitions for each Spark action (e.g. collect) in bytes. Should be at least 1M, or 0 for unlimited. Jobs will be aborted if the total size is above this limit. Having a high limit may cause out-of-memory errors in driver (depends on spark.driver.memory and memory overhead of objects in JVM). Setting a proper limit can protect the driver from out-of-memory errors.|1.2.0
spark.driver.memory|1g|"Amount of memory to use for the driver process, i.e. where SparkContext is initialized, in the same format as JVM memory strings with a size unit suffix (""k"", ""m"", ""g"" or ""t"") (e.g.512m,2g).Note:In client mode, this config must not be set through theSparkConfdirectly in your application, because the driver JVM has already started at that point. Instead, please set this through the--driver-memorycommand line option or in your default properties file."|1.1.1
spark.driver.memoryOverhead|driverMemory *spark.driver.memoryOverheadFactor, with minimum ofspark.driver.minMemoryOverhead|Amount of non-heap memory to be allocated per driver process in cluster mode, in MiB unless otherwise specified. This is memory that accounts for things like VM overheads, interned strings, other native overheads, etc. This tends to grow with the container size (typically 6-10%). This option is currently supported on YARN and Kubernetes.Note:Non-heap memory includes off-heap memory (whenspark.memory.offHeap.enabled=true) and memory used by other driver processes (e.g. python process that goes with a PySpark driver) and memory used by other non-driver processes running in the same container. The maximum memory size of container to running driver is determined by the sum ofspark.driver.memoryOverheadandspark.driver.memory.|2.3.0
spark.driver.minMemoryOverhead|384m|The minimum amount of non-heap memory to be allocated per driver process in cluster mode, in MiB unless otherwise specified, ifspark.driver.memoryOverheadis not defined. This option is currently supported on YARN and Kubernetes.|4.0.0
spark.driver.memoryOverheadFactor|0.10|"Fraction of driver memory to be allocated as additional non-heap memory per driver process in cluster mode. This is memory that accounts for things like VM overheads, interned strings, other native overheads, etc. This tends to grow with the container size. This value defaults to 0.10 except for Kubernetes non-JVM jobs, which defaults to 0.40. This is done as non-JVM tasks need more non-JVM heap space and such tasks commonly fail with ""Memory Overhead Exceeded"" errors. This preempts this error with a higher default. This value is ignored ifspark.driver.memoryOverheadis set directly."|3.3.0
spark.driver.resource.{resourceName}.amount|0|Amount of a particular resource type to use on the driver. If this is used, you must also specify thespark.driver.resource.{resourceName}.discoveryScriptfor the driver to find the resource on startup.|3.0.0
spark.driver.resource.{resourceName}.discoveryScript|None|A script for the driver to run to discover a particular resource type. This should write to STDOUT a JSON string in the format of the ResourceInformation class. This has a name and an array of addresses. For a client-submitted driver, discovery script must assign different resource addresses to this driver comparing to other drivers on the same host.|3.0.0
spark.driver.resource.{resourceName}.vendor|None|Vendor of the resources to use for the driver. This option is currently only supported on Kubernetes and is actually both the vendor and domain following the Kubernetes device plugin naming convention. (e.g. For GPUs on Kubernetes this config would be set to nvidia.com or amd.com)|3.0.0
spark.resources.discoveryPlugin|org.apache.spark.resource.ResourceDiscoveryScriptPlugin|Comma-separated list of class names implementing org.apache.spark.api.resource.ResourceDiscoveryPlugin to load into the application. This is for advanced users to replace the resource discovery class with a custom implementation. Spark will try each class specified until one of them returns the resource information for that resource. It tries the discovery script last if none of the plugins return information for that resource.|3.0.0
spark.executor.memory|1g|"Amount of memory to use per executor process, in the same format as JVM memory strings with a size unit suffix (""k"", ""m"", ""g"" or ""t"") (e.g.512m,2g)."|0.7.0
spark.executor.pyspark.memory|Not set|The amount of memory to be allocated to PySpark in each executor, in MiB unless otherwise specified. If set, PySpark memory for an executor will be limited to this amount. If not set, Spark will not limit Python's memory use and it is up to the application to avoid exceeding the overhead memory space shared with other non-JVM processes. When PySpark is run in YARN or Kubernetes, this memory is added to executor resource requests.Note:This feature is dependent on Python'sresourcemodule; therefore, the behaviors and limitations are inherited. For instance, Windows does not support resource limiting and actual resource is not limited on MacOS.|2.4.0
